scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,mantissa_bits,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
moderate,3001,point_forecast,"{""margin"": 0.0}",20,2,3.4953303940001206,0.8416895886192837,12,0.16525427639325993,0.12312157369948165,0.03949029777976547,0.20760049799176242,0.8348524685062115,0.7089565791371454,1.0,0.29104342086285456,0.8417058542524483,5.01080190155686,10.0,12864706.892500566,0.9910838971629147,0.7568200090881987,13691176.94680437,2.23486520001552,2.356911300103093,1000,19000,
moderate,3001,proposed,{},20,2,4.563503989999845,0.8416895886192837,12,0.1615724752987747,0.1200390240784031,0.03759723191153367,0.20331640855440625,0.8384544495627339,0.7112645972731467,1.0,0.2887354027268533,0.8417058542524483,4.692711595020675,10.0,12235933.383508373,0.9913336938811264,0.7706327581653376,15416471.490435978,3.316181689997393,3.466774350408741,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2749310180006432,0.813032869850745,12,0.06305925248105146,0.10305595616789667,0.18004805967535228,0.022009431058427044,0.9364434820017238,0.7568334434093988,1.0,0.2431665565906012,0.8122272798228553,3.052849569265885,10.0,6628332.496140176,0.9930005057989267,0.8093789884400132,13160086.254806347,0.03281838598923059,0.03687364946927117,1000,19000,
moderate,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.282298050999998,0.813032869850745,12,0.1439867471468835,0.1142459812539492,0.056996160270003704,0.17451059077249126,0.8555312719690362,0.6944785463450504,1.0,0.3055214536549497,0.8122272798228553,4.761634801570948,10.0,11476296.61722256,0.9950910117641373,0.7777350072237585,14562647.768973267,0.08149221400526585,0.0935350999043294,1000,19000,
moderate,3002,point_forecast,"{""margin"": 0.0}",20,2,3.49564289799946,0.813032869850745,12,0.1365107621101081,0.1021419280515233,0.03598325532721508,0.1717845314600742,0.8630515174813354,0.7008987392805622,1.0,0.29910126071943777,0.8122272798228553,4.6822955279439,10.0,11340196.442132749,0.993650127087307,0.7797652807839828,15099495.605302714,2.2383647099859445,2.347121799857632,1000,19000,
moderate,3002,proposed,{},20,2,4.698574236999775,0.813032869850745,12,0.12800455747366055,0.09617670439738522,0.03490932152366513,0.16067044152440899,0.8714955543295825,0.7076463955481312,1.0,0.2923536044518688,0.8122272798228553,4.481158504625725,10.0,10876219.466667637,0.9945512616012735,0.7948620244238003,15111817.614417002,3.4398464559844797,3.5675468996032578,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2885503759998755,0.9840856778721399,14,0.11275975460465323,0.16123981884503763,0.2660315360047274,0.06663641277219971,0.8869600001376627,0.8709787478675676,1.0,0.12902125213243246,0.9880248658652444,4.357104177092735,10.0,9898868.243212488,0.9871018867595359,0.7256357491741503,13777750.031257866,0.033745278004971624,0.03799899932346306,1000,19000,
moderate,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.1909145429999626,0.9840856778721399,14,0.24941131172164635,0.19596160907962598,0.08042780752029645,0.30026270691735024,0.7503988661670591,0.7425442604838172,1.0,0.25745573951618284,0.9880248658652444,5.985886002271446,10.0,15037535.825409947,0.980090928906755,0.6525455158495832,19431833.209526114,0.07720140801666275,0.08646960004625726,1000,19000,
moderate,3000,point_forecast,"{""margin"": 0.0}",20,2,3.4290216449999207,0.9840856778721399,14,0.24234367778966942,0.18431167564628007,0.05887303916537393,0.29755461684307843,0.7574270803780886,0.7500470405625591,1.0,0.24995295943744092,0.9880248658652444,6.00605388566515,10.0,15096844.94815995,0.9774981021533197,0.6575362888554502,19430950.891418576,2.215313933003017,2.336400649846837,1000,19000,
moderate,3000,proposed,{},20,2,4.477871079000579,0.9840856778721399,14,0.26643679311458646,0.19534700901368404,0.04168342244113248,0.3340707466634739,0.7331366221550379,0.7282657393651207,1.0,0.27173426063487927,0.9880248658652444,5.682075144801819,10.0,14856790.068369962,0.9661334212045066,0.630367692286839,19432730.728596237,3.3129077510193383,3.459434149772278,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2818262460004917,0.9781797921791674,14,0.12485150279552344,0.1747865207819051,0.27390499646164734,0.07466342555430766,0.8751259986310322,0.8510596121530194,1.0,0.14894038784698066,0.978198695482575,4.0687534480456815,10.0,9516274.480746903,0.9865040366524167,0.7191876386948083,13711813.783862378,0.032616364984278334,0.034817349751392605,1000,19000,
moderate,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.173073734999889,0.9781797921791674,14,0.2566211732956747,0.1995130253480504,0.08615625084953211,0.3140187322808303,0.7429770387948393,0.7369980873605149,1.0,0.2630019126394851,0.978198695482575,5.882217351782438,10.0,15122832.963754607,0.9805322234268703,0.6423375702839007,24672001.415164273,0.07628111699432338,0.0846427497890545,1000,19000,
moderate,3001,point_forecast,"{""margin"": 0.0}",20,2,3.575577863000035,0.9781797921791674,14,0.25035073131488905,0.18822252260885924,0.06490118235553252,0.3127937915786696,0.7492220165619639,0.7436440532189661,1.0,0.25635594678103396,0.978198695482575,5.933928585802398,10.0,15247966.843319278,0.9774349952936494,0.6465235161276642,25245217.637602795,2.3375606569925367,2.4656285498167563,1000,19000,
moderate,3001,proposed,{},20,2,4.5134027439999045,0.9781797921791674,14,0.28876207294304124,0.20676903317369036,0.04401701172647764,0.37117063469240363,0.7108289589282428,0.7076793496988765,1.0,0.29232065030112353,0.978198695482575,5.461001346469435,10.0,14939607.377933877,0.9581580497015167,0.5963518994845394,24875284.830591083,3.3487017910047143,3.5062343000390683,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.3065298999999868,0.9448760379346495,14,0.10547858129333024,0.15643466529023142,0.25452315088496685,0.05318081783646294,0.8940119390559538,0.8373327710204367,1.0,0.16266722897956332,0.9439398116860208,3.909619061573199,10.0,8554590.56788998,0.9873278687467623,0.7341996956408624,14191772.533000566,0.034286167004211165,0.038367050456145066,1000,19000,
moderate,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2347721010000896,0.9448760379346495,14,0.2273646765738027,0.17679012701532917,0.07943608041849406,0.27927085974728805,0.7721670708811534,0.7305440072480051,1.0,0.269455992751995,0.9439398116860208,5.587792152492233,10.0,13661596.84452894,0.9847450379356419,0.6773623356415877,15577510.089138284,0.0809144470067622,0.09259129997190028,1000,19000,
moderate,3002,point_forecast,"{""margin"": 0.0}",20,2,3.478130946999954,0.9448760379346495,14,0.22096605685454165,0.16524813932282503,0.05799330883956412,0.2781510334622448,0.7786628806373653,0.7372281741515283,1.0,0.26277182584847175,0.9439398116860208,5.610622305078275,10.0,13734363.706019362,0.9818783723956751,0.6756877240536494,15340691.89070417,2.248700578982607,2.4564919000567893,1000,19000,
moderate,3002,proposed,{},20,2,4.670848855999793,0.9448760379346495,14,0.24864448880456944,0.17818499787107023,0.04255321027406368,0.32095918611049895,0.7509887211844776,0.712088477294843,1.0,0.28791152270515696,0.9439398116860208,5.21335654207472,10.0,13426682.762376688,0.9701327700515411,0.6406010252431062,15689779.744267214,3.4582268090043726,3.6265419500523417,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
